CD_MUN,CIDADE,UF,LAT,LON
1501725,Brasil Novo,PA,-3.591531,-52.420271
1501758,Brejo Grande do Araguaia,PA,-5.870986,-48.443407
1501782,Breu Branco,PA,-3.777044,-49.594084
1501808,Breves,PA,-0.993166,-50.333246
1501907,Bujaru,PA,-1.577206,-48.044627
1501956,Cachoeira do Piriá,PA,-1.775214,-46.426881
1502004,Cachoeira do Arari,PA,-1.014364,-48.977677
1502103,Cametá,PA,-2.35519,-49.43492
1502152,Canaã dos Carajás,PA,-6.431322,-49.879133
1502202,Capanema,PA,-1.196583,-47.178289
1502301,Capitão Poço,PA,-1.732258,-47.112802
1502400,Castanhal,PA,-1.293753,-47.945741
1502509,Chaves,PA,-0.05653,-49.613327
1502608,Colares,PA,-0.952488,-48.294032
1502707,Conceição do Araguaia,PA,-8.256565,-49.218747
1502756,Concórdia do Pará,PA,-1.984092,-47.951164
1502764,Cumaru do Norte,PA,-8.064281,-50.863885
1502772,Curionópolis,PA,-6.107567,-49.504232
1502806,Curralinho,PA,-1.55665,-49.712829
1502855,Curuá,PA,-1.864604,-55.123525
1502905,Curuçá,PA,-0.759152,-47.858011
1502939,Dom Eliseu,PA,-4.146857,-47.707592
1502954,Eldorado do Carajás,PA,-6.056421,-49.412345
1503002,Faro,PA,-2.077685,-56.553287
1503044,Floresta do Araguaia,PA,-7.349148,-49.273777
1503077,Garrafão do Norte,PA,-1.948939,-47.063029
1503093,Goianésia do Pará,PA,-3.827328,-49.077231
1503101,Gurupá,PA,-1.374317,-51.652878
1503200,Igarapé-Açu,PA,-1.089329,-47.642129
1503309,Igarapé-Miri,PA,-1.963868,-48.913538
1503408,Inhangapi,PA,-1.427789,-47.905328
1503457,Ipixuna do Pará,PA,-2.632961,-47.930542
1503507,Irituia,PA,-1.659219,-47.547433
1503606,Itaituba,PA,-4.296893,-56.063926
1503705,Itupiranga,PA,-5.00308,-49.196523
1503754,Jacareacanga,PA,-5.821016,-57.26351
1503804,Jacundá,PA,-4.464414,-49.32178
1503903,Juruti,PA,-2.085379,-56.052686
1504000,Limoeiro do Ajuru,PA,-1.772677,-49.386005
1504059,Mãe do Rio,PA,-2.064843,-47.545944
1504109,Magalhães Barata,PA,-0.833123,-47.594605
1504208,Marabá,PA,-5.464101,-49.358824
1504307,Maracanã,PA,-0.782511,-47.455128
1504406,Marapanim,PA,-0.744499,-47.667571
1504422,Marituba,PA,-1.356669,-48.339817
1504455,Medicilândia,PA,-3.807903,-53.553027
1504505,Melgaço,PA,-1.552104,-50.860679
1504604,Mocajuba,PA,-2.642999,-49.496903
1504703,Moju,PA,-2.136855,-48.623235
1504752,Mojuí dos Campos,PA,-2.747377,-54.719669
1504802,Monte Alegre,PA,-1.871337,-54.113235
1504901,Muaná,PA,-1.576783,-49.126322
1504950,Nova Esperança do Piriá,PA,-2.063441,-46.903694
1504976,Nova Ipixuna,PA,-4.863283,-49.209326
1505007,Nova Timboteua,PA,-1.166265,-47.39759
1505031,Novo Progresso,PA,-7.121968,-55.104621
1505064,Novo Repartimento,PA,-4.382801,-50.221236
1505106,Óbidos,PA,-1.605005,-55.498848
1505205,Oeiras do Pará,PA,-2.06716,-49.755769
1505304,Oriximiná,PA,-1.289708,-56.138896
1505403,Ourém,PA,-1.536394,-47.115077
1505437,Ourilândia do Norte,PA,-7.531803,-51.201087
1505486,Pacajá,PA,-3.858793,-50.788076
1505494,Palestina do Pará,PA,-5.706642,-48.736039
1505502,Paragominas,PA,-3.173397,-47.611327
1505536,Parauapebas,PA,-6.055565,-50.476943
1505551,Pau D'Arco,PA,-7.742844,-50.066204
1505601,Peixe-Boi,PA,-1.221797,-47.322666
1505635,Piçarra,PA,-6.436756,-48.85336
1505650,Placas,PA,-3.83489,-54.302204
1505700,Ponta de Pedras,PA,-1.190429,-48.894576
1505809,Portel,PA,-2.003047,-50.730043
1505908,Porto de Moz,PA,-2.025911,-52.433531
1506005,Prainha,PA,-2.799979,-53.887611
1506104,Primavera,PA,-0.995668,-47.102831
1506112,Quatipuru,PA,-0.881208,-47.009744
1506138,Redenção,PA,-8.039322,-50.005665
1506161,Rio Maria,PA,-7.470362,-50.084492
1506187,Rondon do Pará,PA,-4.615503,-48.207387
1506195,Rurópolis,PA,-4.120155,-55.056035
1506203,Salinópolis,PA,-0.70414,-47.40293
1506302,Salvaterra,PA,-0.812842,-48.696413
1506351,Santa Bárbara do Pará,PA,-1.195802,-48.275061
1506401,Santa Cruz do Arari,PA,-0.631186,-49.251249
1506500,Santa Isabel do Pará,PA,-1.287135,-48.154473
1506559,Santa Luzia do Pará,PA,-1.726663,-46.906546
1506583,Santa Maria das Barreiras,PA,-8.424465,-50.561726
1506609,Santa Maria do Pará,PA,-1.373984,-47.585312
1506708,Santana do Araguaia,PA,-9.456041,-50.539329
1506807,Santarém,PA,-2.747776,-54.610034
1506906,Santarém Novo,PA,-0.905115,-47.377172
1507003,Santo Antônio do Tauá,PA,-1.110665,-48.075351
1507102,São Caetano de Odivelas,PA,-0.776712,-48.07555
1507151,São Domingos do Araguaia,PA,-5.535641,-48.750125
1507201,São Domingos do Capim,PA,-1.921198,-47.726411
1507300,São Félix do Xingu,PA,-6.99917,-52.092837
1507409,São Francisco do Pará,PA,-1.177911,-47.753196
1507458,São Geraldo do Araguaia,PA,-6.084086,-48.64158
1507466,São João da Ponta,PA,-0.841849,-47.899371
1507474,São João de Pirabas,PA,-0.696569,-47.170105
1507508,São João do Araguaia,PA,-5.432804,-48.642801
1507607,São Miguel do Guamá,PA,-1.65194,-47.459537
1507706,São Sebastião da Boa Vista,PA,-1.722222,-49.594463
1507755,Sapucaia,PA,-6.870449,-49.775675
1507805,Senador José Porfírio,PA,-3.615265,-52.569358
1507904,Soure,PA,-0.492133,-48.643779
1507953,Tailândia,PA,-2.79823,-48.945464
1507961,Terra Alta,PA,-1.016734,-47.864212
1507979,Terra Santa,PA,-2.093205,-56.206039
1508001,Tomé-Açu,PA,-2.335355,-48.091328
1508035,Tracuateua,PA,-1.063266,-46.908355
1508050,Trairão,PA,-4.711477,-55.951323
1508084,Tucumã,PA,-6.768621,-51.147521
1508100,Tucuruí,PA,-3.788805,-49.739825
1508126,Ulianópolis,PA,-3.844779,-47.483363
1508159,Uruará,PA,-3.858425,-53.758879
1508209,Vigia,PA,-0.982689,-48.023067
1508308,Viseu,PA,-1.435559,-46.22876
1508357,Vitória do Xingu,PA,-3.721605,-51.809968
1508407,Xinguara,PA,-7.100308,-49.949493
1600055,Serra do Navio,AP,1.604639,-52.210355
1600105,Amapá,AP,1.845118,-50.986086
1600154,Pedra Branca do Amapari,AP,1.434897,-52.33636
1600204,Calçoene,AP,2.305927,-51.211448
1600212,Cutias,AP,0.874839,-50.988464
1600238,Ferreira Gomes,AP,1.048692,-51.349285
1600253,Itaubal,AP,0.62072,-50.913909
1600279,Laranjal do Jari,AP,-0.369705,-53.059056
1600303,Macapá,AP,0.248358,-50.992923
1600402,Mazagão,AP,-0.481052,-51.970501
1600501,Oiapoque,AP,3.028287,-51.599804
1600535,Porto Grande,AP,0.676277,-51.481354
1600550,Pracuúba,AP,1.731371,-50.950857
1600600,Santana,AP,-0.106765,-51.226639
1600709,Tartarugalzinho,AP,1.388977,-51.043426
1600808,Vitória do Jari,AP,-0.986721,-52.006098
1700251,Abreulândia,TO,-9.62234,-49.106496
1700301,Aguiarnópolis,TO,-6.55356,-47.525219
1700350,Aliança do Tocantins,TO,-11.30306,-48.90862
1700400,Almas,TO,-11.570317,-47.183536
1700707,Alvorada,TO,-12.522182,-49.126031
1701002,Ananás,TO,-6.244719,-48.107087
1701051,Angico,TO,-6.467953,-47.87722
1701101,Aparecida do Rio Negro,TO,-9.91348,-47.980511
1701309,Aragominas,TO,-7.233474,-48.378345
1701903,Araguacema,TO,-8.711468,-49.797537
1702000,Araguaçu,TO,-12.906297,-49.710146
1702109,Araguaína,TO,-7.20138,-48.248219
1702158,Araguanã,TO,-6.637869,-48.497136
1702208,Araguatins,TO,-5.548039,-48.112541
1702307,Arapoema,TO,-7.767463,-49.070018
1702406,Arraias,TO,-12.856224,-46.989058
1702554,Augustinópolis,TO,-5.461813,-47.887582
1702703,Aurora do Tocantins,TO,-12.634938,-46.471531
1702901,Axixá do Tocantins,TO,-5.604638,-47.770619
1703008,Babaçulândia,TO,-7.155683,-47.899162
1703057,Bandeirantes do Tocantins,TO,-7.693595,-48.663957
1703073,Barra do Ouro,TO,-7.674554,-47.762766
1703107,Barrolândia,TO,-9.850965,-48.730713
1703206,Bernardo Sayão,TO,-7.913864,-48.961584
1703305,Bom Jesus do Tocantins,TO,-8.944911,-48.119957
1703602,Brasilândia do Tocantins,TO,-8.397641,-48.503326
1703701,Brejinho de Nazaré,TO,-11.034645,-48.592362
1703800,Buriti do Tocantins,TO,-5.333204,-48.235537
1703826,Cachoeirinha,TO,-6.129297,-47.929189
1703842,Campos Lindos,TO,-7.92815,-46.959115
1703867,Cariri do Tocantins,TO,-11.963789,-49.137363
1703883,Carmolândia,TO,-7.015498,-48.41387
1703891,Carrasco Bonito,TO,-5.315266,-48.047834
1703909,Caseara,TO,-9.0593,-49.911178
1704105,Centenário,TO,-8.96876,-47.419547
